Name,Citations,Articles,Ranking
Floor de Kort,380,1,100
Hans C van Houwelingen,380,2,100
I L Hofacker,61,4,1000
P F Stadler,61,4,1000
Ming Lin,153,1,1000
Lee-Jen Wei,153,2,1000
William R Sellers,153,1,1000
Marshall Lieberfarb,153,1,1000
Wing Hung Wong,153,1,1000
Chun Li,153,3,1000
Harris A Jaffee,143,2,1000
Zhijin Wu,143,2,1000
Mariko Hatakeyama,49,2,1000
Tim Beissbarth,522,3,100
Eleazar Eskin,67,1,1000
William S Noble,218,27,1000
Neil D Lawrence,45,4,1000
Fátima Al-Shahrour,387,2,100
Ramón Díaz-Uriarte,387,3,100
Joaquín Dopazo,387,3,100
N Kashtan,68,3,1000
S Itzkovitz,68,4,1000
R Milo,68,2,1000
U Alon,68,4,1000
Paul H C Eilers,48,2,1000
Xue-Ming Zhao,39,1,1000
Ying-Jin Yuan,39,1,1000
Fran Supek,45,2,1000
Kristian Vlahovicek,45,2,1000
Jo Dicks,40,2,1000
Brett G Olivier,48,2,1000
L Smith,64,1,1000
T Rindflesch,64,1,1000
W J Wilbur,64,1,1000
Stephan H F Bernhart,61,2,1000
Shigeyuki Yokoyama,49,3,1000
Gert R G Lanckriet,100,1,1000
Tijl De Bie,100,1,1000
Michael I Jordan,100,3,1000
Stefan R Henz,53,1,1000
Daniel H Huson,53,2,1000
Alexander F Auch,53,1,1000
Kay Nieselt-Struwe,53,1,1000
Stephan C Schuster,53,1,1000
Hui-Hsien Chou,40,1,1000
An-Ping Hsia,40,1,1000
Denise L Mooney,40,1,1000
Patrick S Schnable,40,1,1000
Matthew Addis,158,1,1000
Justin Ferris,158,1,1000
Darren Marvin,158,1,1000
Martin Senger,158,1,1000
Mark Greenwood,158,1,1000
Tim Carver,158,1,1000
Kevin Glover,158,1,1000
Matthew R Pocock,158,1,1000
Anil Wipat,158,1,1000
Peter Li,158,1,1000
Eric Bonnet,70,3,1000
Jörn Lewin,66,1,1000
Armin O Schmitt,66,1,1000
Thomas Hildmann,66,1,1000
Emidio Capriotti,190,4,1000
Jing Yu,139,1,1000
Paul P Wang,139,1,1000
Bruno W S Sobral,54,7,1000
Elizabeth I Boyle,685,1,100
Shuai Weng,685,1,100
Jeremy Gollub,685,1,100
Heng Jin,685,2,100
J Michael Cherry,685,1,100
Gavin Sherlock,685,3,100
J C Barrett,4959,1,10
B Fry,4959,1,10
J Maller,4959,1,10
M J Daly,4959,1,10
Min Zou,120,1,1000
Suzanne D Conzen,120,1,1000
Pavel Sumazin,48,3,1000
Andrew D Smith,48,4,1000
Hyunsoo Kim,66,1,1000
Gene H Golub,66,1,1000
Haesun Park,66,1,1000
Graham J Etherington,40,1,1000
Ian N Roberts,40,1,1000
Robert D Finn,128,2,1000
Mhairi Marshall,128,1,1000
Matthew J Beal,61,1,1000
Francesco Falciani,61,1,1000
Zoubin Ghahramani,61,1,1000
Claudia Rangel,61,1,1000
David L Wild,61,1,1000
Victor A Simossis,68,1,1000
Johann M Rohwer,48,2,1000
Jan-Hendrik S Hofmeyr,48,2,1000
Paul Stothard,239,1,1000
J L Gardy,271,1,100
M R Laird,271,4,100
F Chen,271,1,100
S Rey,271,2,100
C J Walsh,271,1,100
M Ester,271,1,100
Sergei L Kosakovsky Pond,1463,2,100
Simon D W Frost,991,1,100
Spencer V Muse,991,1,100
Tom M W Nye,47,2,1000
Walter R Gilks,47,2,1000
Ulrik de Lichtenberg,85,1,1000
Anders Fausbøll,85,1,1000
Thomas S Jensen,85,1,1000
Peer Bork,85,1,1000
Shuhei Kimura,49,2,1000
Kaori Ide,49,1,1000
Aiko Kashihara,49,1,1000
Makoto Kano,49,1,1000
Ryoji Masui,49,1,1000
Noriko Nakagawa,49,1,1000
Seiki Kuramitsu,49,1,1000
Ole Christian Lingjaerde,141,2,1000
Lars O Baumbusch,64,1,1000
Knut Liestøl,64,1,1000
Ingrid K Glad,64,1,1000
Anne-Lise Børresen-Dale,64,1,1000
Michael D Gadberry,54,1,1000
Simon T Malcomber,54,1,1000
Andrew N Doust,54,1,1000
Elizabeth A Kellogg,54,1,1000
Michael Hallett,66,3,1000
Renée X de Menezes,48,1,1000
Simon D W Frost,472,3,100
Lei Bao,52,1,1000
Yan Cui,52,3,1000
Aedín C Culhane,104,4,1000
Jean Thioulouse,104,1,1000
Guy Perrière,104,2,1000
Desmond G Higgins,104,5,1000
Mark Girolami,47,7,1000
Clifford E Felder,315,1,100
Tzviya Zeev-Ben-Mordehai,315,1,100
Edwin H Rydberg,315,1,100
